	Date	Open	High	Low	Close	Volume
0	2014-01-02	8618.6	8632.81	8587.54	8612.54	4462792
1	2014-01-03	8584.74	8584.74	8537.86	8546.54	4406184
2	2014-01-06	8553.0	8568.24	8488.64	8500.01	4556810
3	2014-01-07	8515.36	8547.19	8512.3	8512.3	4489316
4	2014-01-08	8548.61	8587.08	8548.61	8556.01	5447851
5	2014-01-09	8555.8	8569.11	8506.02	8514.68	6277065
6	2014-01-10	8559.18	8559.18	8521.5	8529.35	4771243
7	2014-01-13	8587.49	8607.23	8558.96	8566.2	4633450
8	2014-01-14	8545.46	8568.31	8523.46	8548.14	4247023
9	2014-01-15	8567.81	8619.56	8567.81	8602.55	5319587
10	2014-01-16	8653.54	8668.95	8610.24	8612.11	5077337
11	2014-01-17	8628.49	8628.86	8580.49	8596.0	4520607
12	2014-01-20	8595.59	8636.21	8584.5	8621.56	4366334
13	2014-01-21	8639.71	8650.14	8599.9	8599.9	4815020
14	2014-01-22	8598.98	8633.57	8596.99	8625.3	4236741
15	2014-01-23	8644.56	8647.87	8595.1	8595.1	4026745
16	2014-01-24	8581.49	8608.64	8577.14	8598.31	3568470
17	2014-01-27	8519.48	8519.48	8442.19	8462.57	4003706
18	2014-02-05	8290.17	8313.83	8230.46	8264.48	4841976
19	2014-02-06	8286.16	8333.56	8284.77	8311.01	4387575
20	2014-02-07	8383.99	8409.03	8356.93	8387.35	4348437
21	2014-02-10	8416.42	8447.02	8391.95	8391.95	3970822
22	2014-02-11	8413.86	8439.33	8401.54	8430.56	3914312
23	2014-02-12	8471.51	8510.87	8471.51	8510.87	4674053
24	2014-02-13	8506.22	8511.02	8467.7	8467.7	4053166
25	2014-02-14	8524.54	8566.99	8508.24	8513.68	4320602
26	2014-02-17	8537.83	8558.5	8512.6	8519.55	3686837
27	2014-02-18	8530.81	8556.23	8506.06	8556.23	3733814
28	2014-02-19	8565.06	8577.01	8543.15	8577.01	4186950
29	2014-02-20	8555.27	8567.5	8513.08	8524.62	4589537
30	2014-02-21	8571.29	8612.08	8571.29	8601.86	4700308
31	2014-02-24	8603.61	8612.21	8541.65	8560.61	4508539
32	2014-02-25	8581.14	8598.73	8564.51	8575.62	4437477
33	2014-02-26	8569.04	8626.68	8563.87	8600.86	4960946
34	2014-02-27	8626.51	8647.9	8615.41	8639.58	4544427
35	2014-03-03	8627.15	8628.05	8545.24	8601.98	4380579
36	2014-03-04	8583.58	8595.59	8554.54	8554.54	4208364
37	2014-03-05	8622.19	8652.22	8622.19	8632.93	4487916
38	2014-03-06	8660.29	8719.17	8660.29	8713.79	5162262
39	2014-03-07	8754.74	8787.62	8698.6	8713.96	5627630
40	2014-03-10	8706.43	8712.88	8651.54	8665.24	3996416
41	2014-03-11	8694.96	8716.31	8684.63	8702.33	4193335
42	2014-03-12	8671.4	8684.73	8651.99	8684.73	4289833
43	2014-03-13	8737.81	8768.66	8732.15	8747.79	4981956
44	2014-03-14	8697.73	8709.56	8677.81	8687.63	4167290
45	2014-03-17	8697.26	8708.4	8662.49	8700.1	4133190
46	2014-03-18	8747.38	8759.55	8713.51	8731.94	4636802
47	2014-03-19	8745.02	8749.8	8682.75	8689.46	4727772
48	2014-03-20	8638.59	8638.59	8580.4	8597.33	4478617
49	2014-03-21	8642.82	8642.82	8562.57	8577.17	4411770
50	2014-03-24	8540.27	8605.38	8508.01	8605.38	3914766
51	2014-03-25	8589.19	8689.3	8589.19	8689.3	4103750
52	2014-03-26	8741.03	8746.71	8717.79	8737.27	4653433
53	2014-03-27	8737.56	8780.42	8723.82	8779.57	4746817
54	2014-03-28	8779.91	8812.41	8751.07	8774.64	4582915
55	2014-03-31	8802.93	8849.28	8769.97	8849.28	4079089
56	2014-04-01	8847.34	8873.15	8826.16	8873.15	4607052
57	2014-04-02	8906.52	8922.79	8883.14	8905.45	5131398
58	2014-04-03	8902.94	8913.74	8871.16	8888.54	4817592
59	2014-04-07	8844.91	8876.44	8828.59	8876.44	4514514
60	2014-04-08	8878.88	8899.12	8860.7	8888.25	4502406
61	2014-04-09	8912.39	8936.57	8912.39	8930.57	4660927
62	2014-04-10	8964.34	8978.52	8898.3	8948.1	5357312
63	2014-04-11	8900.13	8909.97	8848.24	8908.05	4617852
64	2014-04-14	8897.23	8899.51	8852.66	8857.42	3831079
65	2014-04-15	8898.65	8918.94	8889.44	8916.71	4431826
66	2014-04-16	8921.07	8968.56	8894.29	8923.82	4638032
67	2014-04-17	8942.23	8962.66	8921.56	8944.16	4916167
68	2014-04-18	8994.77	9002.7	8945.56	8966.66	4031283
69	2014-04-21	8961.52	8965.58	8938.47	8951.19	3872742
70	2014-04-22	8956.22	8989.06	8955.19	8974.71	4766759
71	2014-04-23	9009.59	9022.28	8947.86	8956.92	5405089
72	2014-04-24	8968.82	8971.94	8926.55	8945.45	4951922
73	2014-04-25	8945.81	8951.06	8749.51	8774.12	6357271
74	2014-04-28	8680.14	8825.93	8671.65	8809.71	4910988
75	2014-04-29	8845.6	8884.48	8833.37	8872.11	4719245
76	2014-04-30	8885.7	8890.09	8791.44	8791.44	4980417
77	2014-05-02	8846.86	8875.9	8839.92	8867.32	4442476
78	2014-05-05	8895.87	8911.08	8844.45	8870.43	4668596
79	2014-05-06	8888.45	8927.39	8853.72	8912.39	5198268
80	2014-05-07	8903.72	8911.03	8856.98	8893.22	5025079
81	2014-05-08	8925.21	8941.46	8891.74	8930.9	5038369
82	2014-05-09	8943.14	8945.63	8878.32	8889.69	4821345
83	2014-05-12	8893.72	8898.31	8803.43	8808.61	4317054
84	2014-05-13	8865.61	8886.66	8809.06	8817.94	4548206
